ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,food_waste_kg
86,8/17/2024,418,17,31.4 °C,51.36%,Saturday,0,16.9 kg,Unknown,Meat,37.23
373,8/16/2024,206,12,34.2 °C,31.77%,Friday,0,14.1 kg,Intermediate,Meat,33.18
1025,8/15/2024,449,6,30.0 °C,84.69%,Thursday,0,18.1 kg,Unknown,Vegetables,37.54
756,8/14/2024,155,5,17.8 °C,33.00%,Wednesday,0,35.8 kg,Beginner,Grains,38.64
1037,8/13/2024,338,17,30.5 °C,79.10%,Tuesday,0,43.2 kg,Intermediate,Meat,48.37
794,8/12/2024,313,9,28.3 °C,69.24%,Monday,0,28.3 kg,Beginner,Vegetables,41.92
574,8/11/2024,220,16,19.1 °C,42.24%,Sunday,0,17.8 kg,Expert,Vegetables,27.43
857,8/10/2024,146,17,10.8 °C,72.05%,Saturday,0,28.3 kg,Unknown,Grains,35.18
512,8/9/2024,348,16,25.0 °C,70.24%,Friday,0,30.4 kg,Intermediate,Grains,38.96
766,8/8/2024,381,9,22.7 °C,62.81%,Thursday,0,44.1 kg,Beginner,Grains,61.47
111,8/7/2024,172,10,14.2 °C,43.75%,Wednesday,0,49.7 kg,Intermediate,Meat,39.18
546,8/6/2024,400,6,32.4 °C,89.78%,Tuesday,0,23.2 kg,Beginner,Grains,43.32
527,8/5/2024,317,14,19.1 °C,56.30%,Monday,0,15.4 kg,Intermediate,Vegetables,167.72
922,8/4/2024,177,9,25.3 °C,60.76%,Sunday,0,44.8 kg,Intermediate,Meat,51.52
640,8/1/2024,445,10,21.2 °C,78.43%,Thursday,0,34.4 kg,Beginner,Vegetables,53.49
991,7/31/2024,111,19,23.0 °C,35.06%,Wednesday,0,20.6 kg,Intermediate,Grains,22.37
868,7/29/2024,232,12,14.9 °C,49.62%,Monday,0,32.8 kg,Unknown,Meat,36.71
67,7/26/2024,121,15,16.9 °C,69.90%,Friday,0,16.3 kg,Intermediate,Meat,21.77
614,7/25/2024,416,9,28.9 °C,42.88%,Thursday,0,47.5 kg,Beginner,Meat,59.61
822,7/24/2024,269,13,18.9 °C,74.36%,Wednesday,0,29.6 kg,Beginner,Grains,38.46
314,7/23/2024,191,12,12.4 °C,67.03%,Tuesday,0,37.4 kg,Unknown,Dairy,43.61
136,7/22/2024,104,19,14.7 °C,73.54%,Monday,0,22.2 kg,Expert,Grains,31.22
534,7/21/2024,376,13,14.9 °C,43.23%,Sunday,0,24.1 kg,Intermediate,Meat,40.12
987,7/20/2024,150,14,13.6 °C,86.38%,Saturday,1,23.1 kg,Intermediate,Vegetables,47.44
704,7/19/2024,221,16,12.3 °C,62.52%,Friday,0,40.6 kg,Intermediate,Vegetables,35.26
626,7/18/2024,160,6,19.9 °C,86.18%,Thursday,0,26.0 kg,Intermediate,Dairy,30.97
68,7/17/2024,259,13,21.3 °C,53.14%,Wednesday,0,49.2 kg,Intermediate,Grains,53.35
563,7/16/2024,192,7,19.3 °C,67.65%,Tuesday,0,22.0 kg,Intermediate,Vegetables,32.16
475,7/15/2024,254,13,30.0 °C,33.03%,Monday,0,42.3 kg,Beginner,Meat,45.34
641,7/13/2024,451,16,17.1 °C,67.51%,Saturday,0,10.1 kg,Intermediate,Meat,35.6
344,7/11/2024,380,7,12.4 °C,30.40%,Thursday,0,25.6 kg,Intermediate,Dairy,32.78
952,7/10/2024,283,12,23.8 °C,86.34%,Wednesday,1,38.8 kg,Beginner,Dairy,59.01
703,7/9/2024,487,13,24.0 °C,42.79%,Tuesday,0,40.2 kg,Unknown,Vegetables,54.6
773,7/8/2024,459,15,28.8 °C,66.74%,Monday,0,26.4 kg,Intermediate,Dairy,54.25
49,7/7/2024,487,6,24.0 °C,56.95%,Sunday,0,25.6 kg,Unknown,Grains,44.27
125,7/6/2024,107,9,33.7 °C,37.02%,Saturday,0,17.7 kg,Beginner,Meat,20.9
184,7/4/2024,473,8,14.0 °C,30.12%,Thursday,0,20.2 kg,Intermediate,Dairy,43.04
877,7/2/2024,435,13,13.2 °C,61.55%,Tuesday,1,19.6 kg,Expert,Meat,52.71
860,7/1/2024,282,19,10.5 °C,65.01%,Monday,0,7.8 kg,Beginner,Meat,29.9
153,6/30/2024,250,17,28.9 °C,70.32%,Sunday,0,33.1 kg,Intermediate,Meat,41.6
744,6/29/2024,348,12,29.0 °C,57.04%,Saturday,0,7.2 kg,Intermediate,Meat,29.43
827,6/27/2024,470,10,31.8 °C,52.40%,Thursday,0,43.4 kg,Intermediate,Dairy,55.98
629,6/26/2024,339,7,18.5 °C,72.23%,Wednesday,0,19.2 kg,Intermediate,Vegetables,33.3
462,6/25/2024,142,7,22.4 °C,68.50%,Tuesday,0,43.8 kg,Intermediate,Meat,34.46
677,6/24/2024,334,12,29.9 °C,63.20%,Monday,0,42.6 kg,Unknown,Grains,50.09
548,6/23/2024,225,5,34.5 °C,35.53%,Sunday,0,37.6 kg,Expert,Meat,35.84
809,6/22/2024,304,18,18.9 °C,57.48%,Saturday,0,18.0 kg,Intermediate,Grains,36.34
437,6/21/2024,152,6,12.8 °C,71.75%,Friday,0,22.5 kg,Intermediate,Vegetables,26.75
219,6/20/2024,361,6,29.7 °C,55.82%,Thursday,0,45.2 kg,Beginner,Dairy,53.18
662,6/19/2024,133,7,17.3 °C,34.10%,Wednesday,0,8.1 kg,Expert,Grains,20.07
606,6/18/2024,168,14,28.7 °C,85.53%,Tuesday,0,11.2 kg,Expert,Grains,23.75
568,6/17/2024,439,15,21.5 °C,40.33%,Monday,0,41.2 kg,Intermediate,Meat,64.15
1000,6/16/2024,372,17,31.6 °C,65.72%,Sunday,0,38.8 kg,Intermediate,Meat,49.35
782,6/15/2024,429,5,12.4 °C,38.64%,Saturday,0,43.5 kg,Unknown,Meat,55.86
707,6/14/2024,283,14,15.4 °C,71.39%,Friday,0,27.8 kg,Expert,Meat,205.02
631,6/13/2024,237,8,26.6 °C,62.98%,Thursday,0,22.4 kg,Expert,Vegetables,31.85
608,6/12/2024,487,7,13.5 °C,67.84%,Wednesday,0,39.9 kg,Intermediate,Grains,53.8
638,6/11/2024,384,13,20.7 °C,74.41%,Tuesday,0,16.6 kg,Unknown,Vegetables,30.54
273,6/10/2024,232,5,31.2 °C,61.01%,Monday,0,41.6 kg,Beginner,Grains,40.68
155,6/9/2024,180,11,15.7 °C,66.33%,Sunday,0,37.8 kg,Intermediate,Meat,39.13
346,6/8/2024,150,19,25.3 °C,34.44%,Saturday,0,11.1 kg,Beginner,Meat,28.13
65,6/7/2024,205,10,23.7 °C,61.18%,Friday,0,17.6 kg,Intermediate,Meat,22.88
429,6/5/2024,129,9,23.6 °C,64.93%,Wednesday,0,16.2 kg,Expert,Vegetables,21.42
619,6/4/2024,434,10,20.1 °C,41.39%,Tuesday,0,6.1 kg,Intermediate,Meat,41.23
18,6/3/2024,265,12,15.7 °C,63.33%,Monday,0,26.9 kg,Beginner,Meat,38.22
720,6/2/2024,348,7,34.5 °C,88.74%,Sunday,0,19.8 kg,Intermediate,Dairy,43.31
60,6/1/2024,407,14,23.6 °C,62.87%,Saturday,1,13.3 kg,Intermediate,Grains,50.64
816,5/31/2024,446,5,27.1 °C,36.19%,Friday,0,37.5 kg,Intermediate,Dairy,46.16
589,5/30/2024,434,13,12.2 °C,88.63%,Thursday,0,10.5 kg,Expert,Meat,42.27
81,5/29/2024,385,14,20.5 °C,57.01%,Wednesday,0,10.6 kg,Intermediate,Meat,28.11
955,5/28/2024,437,13,28.0 °C,30.69%,Tuesday,0,31.2 kg,Unknown,Vegetables,49.66
123,5/27/2024,197,6,10.6 °C,84.88%,Monday,0,45.4 kg,Beginner,Dairy,43.79
847,5/26/2024,405,15,14.6 °C,86.48%,Sunday,0,37.0 kg,Beginner,Meat,65.43
1021,5/25/2024,393,14,34.2 °C,49.52%,Saturday,0,36.8 kg,Beginner,Grains,50.28
535,5/24/2024,325,18,33.7 °C,89.42%,Friday,0,12.9 kg,Unknown,Grains,40.61
53,5/23/2024,351,17,17.7 °C,66.07%,Thursday,0,7.6 kg,Intermediate,Dairy,25.96
240,5/22/2024,291,7,18.5 °C,77.12%,Wednesday,1,26.7 kg,Beginner,Grains,40.29
1043,5/21/2024,202,9,14.8 °C,76.86%,Tuesday,0,41.5 kg,Intermediate,Meat,42.89
738,5/19/2024,165,19,13.6 °C,74.01%,Sunday,0,9.6 kg,Beginner,Grains,34.47
806,5/17/2024,440,8,22.4 °C,88.92%,Friday,0,29.0 kg,Intermediate,Grains,49.71
149,5/16/2024,328,12,25.6 °C,52.89%,Thursday,0,9.2 kg,Expert,Vegetables,21.51
576,5/15/2024,306,15,29.7 °C,42.32%,Wednesday,0,13.7 kg,Beginner,Meat,32.57
858,5/14/2024,402,8,30.7 °C,34.33%,Tuesday,0,36.3 kg,Beginner,Meat,40.63
884,5/13/2024,354,8,19.8 °C,70.65%,Monday,0,16.9 kg,Intermediate,Grains,29.78
968,5/12/2024,211,11,32.1 °C,50.01%,Sunday,0,18.8 kg,Intermediate,Dairy,29.37
487,5/11/2024,412,13,13.2 °C,35.04%,Saturday,0,38.2 kg,Intermediate,Vegetables,54.42
1049,5/10/2024,350,6,23.7 °C,51.35%,Friday,0,46.8 kg,Intermediate,Vegetables,57.07
330,5/9/2024,321,17,28.3 °C,44.83%,Thursday,0,36.7 kg,Intermediate,Vegetables,49.19
169,5/8/2024,488,18,15.9 °C,66.33%,Wednesday,0,42.6 kg,Expert,Vegetables,62.42
889,5/7/2024,335,15,22.6 °C,82.68%,Tuesday,0,38.7 kg,Beginner,Meat,52.08
1031,5/6/2024,153,12,29.3 °C,55.83%,Monday,0,28.3 kg,Unknown,Grains,38.31
449,5/5/2024,367,18,17.9 °C,86.10%,Sunday,1,17.9 kg,Intermediate,Dairy,46.6
116,5/4/2024,405,19,18.7 °C,54.70%,Saturday,0,11.3 kg,Intermediate,Dairy,29.13
765,5/3/2024,478,12,24.1 °C,41.49%,Friday,0,10.4 kg,Intermediate,Vegetables,44.48
455,5/2/2024,358,11,25.5 °C,53.44%,Thursday,0,40.5 kg,Beginner,Vegetables,60.04
758,5/1/2024,217,10,11.2 °C,31.19%,Wednesday,0,38.3 kg,Beginner,Vegetables,36.08
630,4/30/2024,261,16,31.3 °C,41.21%,Tuesday,0,42.3 kg,Intermediate,Meat,48.3
395,4/29/2024,349,15,13.9 °C,39.77%,Monday,0,17.3 kg,Intermediate,Vegetables,30.76
754,4/28/2024,253,9,16.7 °C,44.85%,Sunday,0,35.6 kg,Beginner,Grains,46.06
21,4/27/2024,138,17,31.1 °C,67.68%,Saturday,0,21.0 kg,Intermediate,Vegetables,29.54
618,4/26/2024,171,9,20.7 °C,88.91%,Friday,0,8.8 kg,Intermediate,Meat,22.7
830,4/25/2024,194,14,19.3 °C,81.04%,Thursday,0,43.3 kg,Intermediate,Vegetables,41.15
798,4/24/2024,447,15,34.4 °C,86.12%,Wednesday,0,14.3 kg,Intermediate,Dairy,44.07
267,4/23/2024,133,16,29.7 °C,48.77%,Tuesday,1,31.3 kg,Expert,Meat,45.62
386,4/21/2024,468,12,16.9 °C,60.09%,Sunday,0,13.6 kg,Expert,Meat,37.51
1011,4/20/2024,359,13,10.9 °C,78.98%,Saturday,0,19.7 kg,Intermediate,Meat,32.08
918,4/19/2024,304,5,11.1 °C,48.99%,Friday,0,32.6 kg,Unknown,Meat,41.87
790,4/16/2024,100,19,21.8 °C,78.53%,Tuesday,0,13.0 kg,Beginner,Vegetables,25.53
245,4/15/2024,465,18,33.1 °C,82.76%,Monday,0,27.4 kg,Expert,Grains,54.1
73,4/14/2024,177,9,20.0 °C,43.60%,Sunday,0,28.2 kg,Intermediate,Vegetables,36.37
311,4/12/2024,244,13,15.6 °C,72.86%,Friday,0,18.9 kg,Expert,Meat,175.51
1018,4/11/2024,182,9,11.4 °C,87.69%,Thursday,0,23.8 kg,Expert,Grains,30.49
799,4/10/2024,301,18,10.2 °C,37.11%,Wednesday,0,43.5 kg,Expert,Vegetables,52.16
661,4/9/2024,264,6,29.5 °C,58.94%,Tuesday,0,36.5 kg,Beginner,Vegetables,44.81
23,4/8/2024,152,8,32.7 °C,48.53%,Monday,0,27.2 kg,Expert,Grains,31.26
33,4/6/2024,358,18,11.3 °C,62.44%,Saturday,0,43.6 kg,Expert,Grains,46.62
379,4/5/2024,457,12,25.8 °C,62.06%,Friday,0,38.2 kg,Unknown,Dairy,55.85
791,4/4/2024,232,18,27.7 °C,72.37%,Thursday,0,11.2 kg,Intermediate,Meat,28.18
362,4/2/2024,296,7,20.9 °C,63.54%,Tuesday,0,20.0 kg,Intermediate,Dairy,29.02
446,3/31/2024,410,18,21.5 °C,80.60%,Sunday,0,6.0 kg,Intermediate,Dairy,168.87
810,3/30/2024,484,5,19.4 °C,66.95%,Saturday,0,7.4 kg,Expert,Meat,41.26
1014,3/29/2024,198,9,15.6 °C,77.85%,Friday,0,24.3 kg,Expert,Grains,41.3
555,3/28/2024,204,8,31.3 °C,37.46%,Thursday,0,28.0 kg,Unknown,Dairy,30.47
322,3/27/2024,197,11,11.4 °C,76.93%,Wednesday,0,35.0 kg,Beginner,Vegetables,52.83
967,3/26/2024,276,19,29.6 °C,30.96%,Tuesday,0,35.6 kg,Expert,Meat,43.85
717,3/25/2024,382,13,33.2 °C,84.39%,Monday,0,32.8 kg,Expert,Grains,52.34
438,3/24/2024,414,18,27.4 °C,53.23%,Sunday,0,29.1 kg,Intermediate,Meat,44.41
943,3/23/2024,441,14,24.7 °C,60.40%,Saturday,0,48.3 kg,Unknown,Meat,58.31
805,3/21/2024,162,19,27.5 °C,48.72%,Thursday,0,41.3 kg,Expert,Vegetables,42.45
368,3/20/2024,381,16,14.1 °C,62.96%,Wednesday,0,32.6 kg,Intermediate,Meat,42.14
724,3/19/2024,440,12,34.5 °C,56.12%,Tuesday,0,22.8 kg,Beginner,Meat,43.31
258,3/18/2024,366,13,24.1 °C,70.26%,Monday,0,28.9 kg,Intermediate,Vegetables,49.18
813,3/17/2024,276,16,15.1 °C,75.88%,Sunday,0,9.8 kg,Intermediate,Vegetables,27.55
1039,3/16/2024,338,9,33.8 °C,37.13%,Saturday,0,22.1 kg,Expert,Meat,34.75
910,3/15/2024,323,18,28.5 °C,39.44%,Friday,1,6.2 kg,Intermediate,Vegetables,50.2
139,3/14/2024,245,17,28.7 °C,69.91%,Thursday,0,26.8 kg,Intermediate,Grains,35.35
671,3/13/2024,164,5,34.8 °C,42.80%,Wednesday,0,31.8 kg,Expert,Dairy,30.72
648,3/12/2024,473,18,27.2 °C,38.53%,Tuesday,0,10.1 kg,Expert,Vegetables,38.85
715,3/11/2024,388,17,14.5 °C,33.11%,Monday,0,14.9 kg,Intermediate,Dairy,29.68
40,3/10/2024,218,8,22.4 °C,31.85%,Sunday,0,34.8 kg,Beginner,Dairy,31.83
293,3/9/2024,104,18,25.9 °C,50.68%,Saturday,1,26.6 kg,Intermediate,Meat,37.81
853,3/8/2024,464,11,14.3 °C,81.03%,Friday,0,32.9 kg,Unknown,Grains,47.2
118,3/7/2024,350,15,17.5 °C,37.51%,Thursday,0,25.9 kg,Unknown,Vegetables,33.25
473,3/4/2024,411,17,30.0 °C,35.89%,Monday,0,7.8 kg,Expert,Grains,35.16
611,3/3/2024,109,17,11.6 °C,40.81%,Sunday,1,5.9 kg,Intermediate,Meat,27.97
953,3/2/2024,402,11,19.3 °C,39.54%,Saturday,0,25.1 kg,Intermediate,Meat,40.62
653,3/1/2024,296,15,15.9 °C,56.93%,Friday,0,38.5 kg,Intermediate,Vegetables,47.1
129,2/29/2024,355,18,28.4 °C,88.35%,Thursday,0,6.9 kg,Expert,Meat,30.25
580,2/28/2024,470,6,13.1 °C,40.33%,Wednesday,0,29.5 kg,Beginner,Meat,53.68
312,2/27/2024,181,14,19.3 °C,72.51%,Tuesday,0,20.3 kg,Unknown,Vegetables,32.01
377,2/26/2024,489,7,23.0 °C,76.84%,Monday,0,32.1 kg,Intermediate,Meat,48.94
255,2/25/2024,352,11,30.6 °C,63.61%,Sunday,0,40.6 kg,Expert,Dairy,51.05
115,2/24/2024,134,6,29.6 °C,37.80%,Saturday,0,49.4 kg,Beginner,Meat,36.16
398,2/22/2024,496,16,28.7 °C,86.95%,Thursday,0,40.8 kg,Expert,Dairy,65.38
663,2/20/2024,319,17,13.7 °C,58.91%,Tuesday,0,19.1 kg,Unknown,Grains,29.39
917,2/19/2024,311,5,25.9 °C,67.71%,Monday,0,24.4 kg,Intermediate,Meat,45.2
763,2/17/2024,244,17,10.6 °C,61.06%,Saturday,0,29.9 kg,Intermediate,Meat,33.5
1003,2/16/2024,291,13,25.1 °C,46.14%,Friday,1,46.3 kg,Intermediate,Vegetables,55.47
992,2/15/2024,327,10,25.0 °C,31.24%,Thursday,0,13.6 kg,Expert,Meat,33.68
683,2/14/2024,140,17,22.2 °C,75.23%,Wednesday,0,42.3 kg,Beginner,Dairy,45.64
925,2/12/2024,319,5,27.6 °C,52.84%,Monday,0,16.8 kg,Intermediate,Meat,33.42
979,2/11/2024,127,12,15.6 °C,38.98%,Sunday,0,36.1 kg,Unknown,Vegetables,31.89
276,2/10/2024,277,19,12.6 °C,62.55%,Saturday,0,26.9 kg,Unknown,Dairy,44.95
1041,2/9/2024,415,11,28.1 °C,75.75%,Friday,0,8.9 kg,Unknown,Meat,41.32
900,2/8/2024,285,16,22.8 °C,43.23%,Thursday,0,44.3 kg,Intermediate,Grains,48.51
467,2/7/2024,235,11,31.9 °C,54.35%,Wednesday,0,14.8 kg,Unknown,Dairy,27.06
896,2/6/2024,189,11,20.1 °C,89.97%,Tuesday,1,27.5 kg,Unknown,Dairy,46.18
493,2/5/2024,263,14,19.7 °C,50.22%,Monday,0,19.1 kg,Beginner,Grains,35.33
747,2/4/2024,447,12,16.9 °C,37.52%,Sunday,0,7.5 kg,Intermediate,Meat,37.23
950,2/3/2024,221,15,14.2 °C,46.29%,Saturday,0,31.1 kg,Expert,Dairy,43.37
372,2/2/2024,107,9,10.7 °C,45.17%,Friday,0,31.2 kg,Beginner,Dairy,146.55
401,2/1/2024,472,7,10.4 °C,79.08%,Thursday,0,27.6 kg,Expert,Vegetables,46.99
570,1/31/2024,255,6,10.1 °C,83.76%,Wednesday,0,5.2 kg,Intermediate,Grains,23.43
700,1/29/2024,371,16,13.5 °C,75.54%,Monday,0,45.1 kg,Beginner,Vegetables,56.2
564,1/28/2024,323,16,15.4 °C,54.96%,Sunday,0,14.1 kg,Intermediate,Meat,36.12
713,1/27/2024,429,7,29.5 °C,68.44%,Saturday,0,32.0 kg,Intermediate,Meat,47.23
217,1/26/2024,111,12,26.1 °C,73.90%,Friday,0,18.6 kg,Intermediate,Vegetables,17.16
716,1/25/2024,243,19,19.6 °C,48.61%,Thursday,0,37.8 kg,Intermediate,Meat,47.99
472,1/24/2024,358,18,13.1 °C,41.47%,Wednesday,0,44.5 kg,Expert,Dairy,58.91
418,1/23/2024,473,5,22.6 °C,33.11%,Tuesday,0,8.6 kg,Intermediate,Vegetables,30.88
776,1/22/2024,153,11,21.8 °C,82.96%,Monday,0,17.7 kg,Intermediate,Meat,23.56
35,1/20/2024,100,15,28.9 °C,30.61%,Saturday,0,15.8 kg,Beginner,Meat,20.36
957,1/19/2024,242,6,27.0 °C,42.21%,Friday,1,37.2 kg,Expert,Meat,54.8
1032,1/18/2024,113,7,29.0 °C,42.03%,Thursday,0,31.2 kg,Intermediate,Meat,32.4
366,1/17/2024,404,11,28.7 °C,73.39%,Wednesday,0,30.7 kg,Unknown,Dairy,45.51
607,1/16/2024,332,8,10.3 °C,51.73%,Tuesday,0,10.0 kg,Intermediate,Dairy,30.4
839,1/15/2024,146,18,30.8 °C,33.68%,Monday,0,20.4 kg,Unknown,Grains,32.82
52,1/14/2024,119,19,31.0 °C,65.43%,Sunday,0,41.6 kg,Intermediate,Dairy,39.24
883,1/13/2024,246,6,31.2 °C,61.92%,Saturday,0,16.1 kg,Expert,Grains,30.22
680,1/11/2024,263,11,23.5 °C,53.51%,Thursday,0,43.2 kg,Intermediate,Meat,44.2
664,1/10/2024,328,15,19.4 °C,85.86%,Wednesday,1,15.4 kg,Expert,Grains,42.1
904,1/9/2024,351,6,27.2 °C,47.40%,Tuesday,0,29.5 kg,Expert,Dairy,53.74
451,1/8/2024,302,12,25.4 °C,32.72%,Monday,0,14.3 kg,Intermediate,Meat,31.79
494,1/7/2024,312,7,30.4 °C,57.80%,Sunday,0,29.6 kg,Beginner,Grains,49.74
800,1/6/2024,473,13,28.6 °C,60.94%,Saturday,0,14.1 kg,Beginner,Vegetables,236.74
879,1/4/2024,248,9,26.4 °C,51.16%,Thursday,0,21.2 kg,Intermediate,Meat,39.51
242,1/2/2024,416,18,14.9 °C,73.60%,Tuesday,0,43.4 kg,Expert,Grains,64.14
41,1/1/2024,272,11,17.0 °C,32.86%,Monday,0,30.9 kg,Unknown,Meat,39.5
974,12/31/2023,259,14,32.0 °C,79.60%,Sunday,0,8.3 kg,Expert,Meat,25.55
911,12/29/2023,143,9,30.3 °C,57.60%,Friday,0,14.0 kg,Unknown,Grains,16.54
963,12/28/2023,157,14,24.0 °C,82.77%,Thursday,0,23.6 kg,Beginner,Meat,30.12
906,12/27/2023,233,11,14.0 °C,47.71%,Wednesday,0,28.3 kg,Intermediate,Meat,39.96
959,12/26/2023,216,5,20.9 °C,51.86%,Tuesday,0,22.0 kg,Beginner,Vegetables,34.68
523,12/25/2023,411,11,31.9 °C,68.16%,Monday,0,26.3 kg,Beginner,Meat,46.2
432,12/24/2023,468,14,24.4 °C,31.97%,Sunday,0,26.2 kg,Intermediate,Meat,251.54
639,12/23/2023,290,19,12.3 °C,65.63%,Saturday,1,13.7 kg,Beginner,Vegetables,46.06
958,12/21/2023,447,17,12.7 °C,45.32%,Thursday,0,39.2 kg,Unknown,Meat,47.26
327,12/19/2023,100,14,28.6 °C,62.67%,Tuesday,0,31.4 kg,Beginner,Dairy,38.5
235,12/18/2023,460,15,29.0 °C,83.33%,Monday,0,47.0 kg,Intermediate,Grains,65.15
9,12/16/2023,416,16,18.6 °C,75.79%,Saturday,1,34.6 kg,Intermediate,Meat,72.05
239,12/15/2023,247,13,13.8 °C,54.06%,Friday,0,48.6 kg,Intermediate,Meat,50.45
424,12/14/2023,157,6,22.2 °C,80.75%,Thursday,0,24.2 kg,Unknown,Grains,40.01
459,12/13/2023,225,13,34.1 °C,84.23%,Wednesday,0,15.9 kg,Intermediate,Meat,20.48
760,12/12/2023,319,12,12.3 °C,55.81%,Tuesday,0,29.8 kg,Intermediate,Meat,35.35
836,12/11/2023,341,10,27.1 °C,38.63%,Monday,0,36.0 kg,Expert,Dairy,47.77
492,12/10/2023,240,10,12.7 °C,80.38%,Sunday,0,42.1 kg,Expert,Grains,39.57
463,12/9/2023,272,9,28.2 °C,49.58%,Saturday,0,32.9 kg,Beginner,Meat,39.1
684,12/8/2023,225,11,23.5 °C,55.65%,Friday,0,46.7 kg,Intermediate,Meat,44.27
712,12/7/2023,138,5,16.7 °C,63.80%,Thursday,0,35.2 kg,Expert,Grains,29.44
328,12/6/2023,118,9,28.8 °C,73.15%,Wednesday,1,30.3 kg,Unknown,Dairy,37.28
91,12/5/2023,445,19,18.0 °C,55.88%,Tuesday,0,41.9 kg,Beginner,Meat,55.89
976,12/4/2023,301,12,11.4 °C,43.49%,Monday,0,46.6 kg,Expert,Dairy,53.09
961,12/3/2023,190,7,14.5 °C,70.77%,Sunday,0,36.4 kg,Expert,Meat,31.27
226,12/2/2023,266,12,24.0 °C,38.89%,Saturday,0,42.2 kg,Intermediate,Meat,49.85
1028,12/1/2023,281,18,28.7 °C,87.38%,Friday,1,38.6 kg,Beginner,Grains,56.33
867,11/30/2023,463,16,34.5 °C,43.72%,Thursday,0,28.9 kg,Intermediate,Grains,48.55
102,11/29/2023,374,19,15.5 °C,75.11%,Wednesday,0,25.3 kg,Intermediate,Dairy,50.81
